BPS_CODE,ZONE,BPS_MODEL,BPS_NAME,GROUPID,GROUPMODEL,GROUPNAME,GROUPVEG,COUNT,InOrConus
14710,54,5414710,Central Interior and Appalachian Floodplain Systems,414,414,American Sycamore-Silver Maple-3,Riparian,119,IN
14720,54,5414720,Central Interior and Appalachian Riparian Systems,416,416,River Birch-American Sycamore-3,Riparian,161,IN
13030,60,6013030,Northeastern Interior Dry-Mesic Oak Forest,279,279,White Oak-Black Oak-White Pine-1,Hardwood,6996,IN
13160,60,6013160,Southern Piedmont Mesic Forest,288,288,Beech-3,Hardwood,4116,IN
13240,60,6013240,Northern Atlantic Coastal Plain Hardwood Forest,296,296,White Oak-Black Oak-Little Bluestem-1,Hardwood,35666,IN
13350,60,6013350,Atlantic Coastal Plain Dry and Dry-Mesic Oak Forest,301,301,Post Oak-Chinquapin Oak-Shortleaf Pine-1,Hardwood,17350,IN
13430,60,6013430,Atlantic Coastal Plain Mesic Hardwood Forest,310,310,Beech-White Oak-Southern Sugar Maple-3,Hardwood,162549,IN
13470,60,6013470,Atlantic Coastal Plain Upland Longleaf Pine Woodland,315,315,Longleaf Pine-Pineland Threeawn-Beyrich Threeawn-1,Conifer,5440,IN
13520,60,6013520,Southern Appalachian Montane Pine Forest and Woodland,319,319,Table Mountain Pine-Pitch Pine-1,Conifer,18,IN
13550,60,6013550,Northern Atlantic Coastal Plain Pitch Pine Barrens,321,321,Pitch Pine-Scrub Oak-1,Conifer,703,IN
13610,60,6013610,Central Atlantic Coastal Plain Maritime Forest,326,326,Live Oak-Wax Myrtle-3,Hardwood,689,IN
13680,60,6013680,Southern Piedmont Dry Oak(-Pine) Forest,336,336,White Oak-Southern Red Oak-Shortleaf Pine-1,Hardwood-Conifer,2340,IN
13690,60,6013690,Central Appalachian Dry Oak-Pine Forest,337,337,Chestnut Oak-Virginia Pine-White Pine-3,Hardwood-Conifer,2457,IN
13700,60,6013700,Appalachian (Hemlock-)Northern Hardwood Forest,338,338,Beech-Hemlock-Sugar Maple-5,Hardwood,5833,IN
13770,60,6013770,Central Appalachian Pine-Oak Rocky Woodland,345,345,Red Pine-Pitch Pine-Black Oak-3,Hardwood-Conifer,1639,IN
13790,60,6013790,Northern Atlantic Coastal Plain Maritime Forest,347,347,Scarlet Oak-Black Oak-American Holly-1,Hardwood-Conifer,18590,IN
14000,60,6014000,Central Appalachian Alkaline Glade and Woodland,362,362,Redcedar-Chinquapin Oak-Redbud-2,Savanna,1083,IN
14360,60,6014360,Northern Atlantic Coastal Plain Dune and Swale,388,388,Sea Oats-1,Grassland,14035,IN
14490,60,6014490,Central Atlantic Coastal Plain Wet Longleaf Pine Savanna and Flatwoods,397,397,Longleaf Pine-Slash Pine-Saw Palmetto-1,Riparian,182,IN
