Count,BpS_Code_105,Zone_105,BpS_Model_105,BpS_Name_105,GroupVeg_105,LABEL_105,Departure_105,BpS_Code_110,Zone_110,BpS_Model_110,BpS_Name_110,GroupName_110,GroupVeg_110,LABEL_110,Departure_110,BPS_CODE_130,ZONE_130,BPS_MODEL_130,BPS_NAME_130,GROUPNAME_130,GROUPVEG_130,LABEL_130,Departure_130,us_105vdep,us_110vdep,us_130vdep,Parcel ID,fee - protection year,fee - orgname,easement - year,easement - orgname,PROTECTED
282,13770,66,6613770,Central Appalachian Pine-Oak Rocky Woodland,Hardwood-Conifer,54,54,13770,66,6613770,Central Appalachian Pine-Oak Rocky Woodland,Red Pine-Pitch Pine-Black Oak-3,Hardwood-Conifer,52,52,13770,66,6613770,Central Appalachian Pine-Oak Rocky Woodland,Red Pine-Pitch Pine-Black Oak-3,Hardwood-Conifer,24,24,54,52,24,33017_36566,-99,Blue Hills Foundation,1996,The Nature Conservancy,YES
98,13690,66,6613690,Central Appalachian Dry Oak-Pine Forest,Hardwood-Conifer,77,77,13690,66,6613690,Central Appalachian Dry Oak-Pine Forest,Chestnut Oak-Virginia Pine-White Pine-3,Hardwood-Conifer,78,78,13690,66,6613690,Central Appalachian Dry Oak-Pine Forest,Chestnut Oak-Virginia Pine-White Pine-3,Hardwood-Conifer,68,68,77,78,68,33017_36566,-99,Blue Hills Foundation,1996,The Nature Conservancy,YES
6,13700,66,6613700,Appalachian (Hemlock-)Northern Hardwood Forest,Hardwood,Urban,Urban,13700,66,6613700,Appalachian (Hemlock-)Northern Hardwood Forest,Beech-Hemlock-Sugar Maple-5,Hardwood,,,13700,66,6613700,Appalachian (Hemlock-)Northern Hardwood Forest,Beech-Hemlock-Sugar Maple-5,Hardwood,Non-burnable Urban,Non-burnable Urban,120,120,120,33017_36566,-99,Blue Hills Foundation,1996,The Nature Conservancy,YES
83,13700,66,6613700,Appalachian (Hemlock-)Northern Hardwood Forest,Hardwood,76,76,13700,66,6613700,Appalachian (Hemlock-)Northern Hardwood Forest,Beech-Hemlock-Sugar Maple-5,Hardwood,76,76,13700,66,6613700,Appalachian (Hemlock-)Northern Hardwood Forest,Beech-Hemlock-Sugar Maple-5,Hardwood,58,58,76,76,58,33017_36566,-99,Blue Hills Foundation,1996,The Nature Conservancy,YES
5,13700,66,6613700,Appalachian (Hemlock-)Northern Hardwood Forest,Hardwood,76,76,13700,66,6613700,Appalachian (Hemlock-)Northern Hardwood Forest,Beech-Hemlock-Sugar Maple-5,Hardwood,76,76,13700,66,6613700,Appalachian (Hemlock-)Northern Hardwood Forest,Beech-Hemlock-Sugar Maple-5,Hardwood,Burnable Urban,Burnable Urban,76,76,121,33017_36566,-99,Blue Hills Foundation,1996,The Nature Conservancy,YES
1,13660,66,6613660,Laurentian-Acadian Pine-Hemlock-Hardwood Forest,Hardwood-Conifer,57,57,13660,66,6613660,Laurentian-Acadian Pine-Hemlock-Hardwood Forest,Eastern Hemlock-White Pine-Yellow Birch-3,Hardwood-Conifer,56,56,13660,66,6613660,Laurentian-Acadian Pine-Hemlock-Hardwood Forest,Eastern Hemlock-White Pine-Yellow Birch-3,Hardwood-Conifer,55,55,57,56,55,33017_36566,-99,Blue Hills Foundation,1996,The Nature Conservancy,YES
4,13690,66,6613690,Central Appalachian Dry Oak-Pine Forest,Hardwood-Conifer,Urban,Urban,13690,66,6613690,Central Appalachian Dry Oak-Pine Forest,Chestnut Oak-Virginia Pine-White Pine-3,Hardwood-Conifer,,,13690,66,6613690,Central Appalachian Dry Oak-Pine Forest,Chestnut Oak-Virginia Pine-White Pine-3,Hardwood-Conifer,Non-burnable Urban,Non-burnable Urban,120,120,120,33017_36566,-99,Blue Hills Foundation,1996,The Nature Conservancy,YES
1,13690,66,6613690,Central Appalachian Dry Oak-Pine Forest,Hardwood-Conifer,77,77,13690,66,6613690,Central Appalachian Dry Oak-Pine Forest,Chestnut Oak-Virginia Pine-White Pine-3,Hardwood-Conifer,78,78,13690,66,6613690,Central Appalachian Dry Oak-Pine Forest,Chestnut Oak-Virginia Pine-White Pine-3,Hardwood-Conifer,Burnable Urban,Burnable Urban,77,78,121,33017_36566,-99,Blue Hills Foundation,1996,The Nature Conservancy,YES
10,13240,65,6513240,Northern Atlantic Coastal Plain Hardwood Forest,Hardwood,42,42,13240,65,6513240,Northern Atlantic Coastal Plain Hardwood Forest,White Oak-Black Oak-Little Bluestem-1,Hardwood,54,54,13240,65,6513240,Northern Atlantic Coastal Plain Hardwood Forest,White Oak-Black Oak-Little Bluestem-1,Hardwood,75,75,42,54,75,25007_07386,-99,Gund,2001,The Nature Conservancy,YES
10,14900,65,6514900,Gulf and Atlantic Coastal Plain Tidal Marsh Systems,Riparian,100,100,14900,65,6514900,Gulf and Atlantic Coastal Plain Tidal Marsh Systems,Smooth Cordgrass-Saltmeadow Rush-Saltmeadow Cordgrass-2,Riparian,100,100,14900,65,6514900,Gulf and Atlantic Coastal Plain Tidal Marsh Systems,Smooth Cordgrass-Saltmeadow Rush-Saltmeadow Cordgrass-2,Riparian,67,67,100,100,67,25007_07386,-99,Gund,2001,The Nature Conservancy,YES
